ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
8.0.0,true,host,host.ip,ip,core,array,,Host ip addresses.
8.0.0,true,host,host.mac,keyword,core,array,"[""00-00-5E-00-53-23"", ""00-00-5E-00-53-24""]",Host MAC addresses.
8.0.0,true,host,host.name,keyword,core,,,Name of the host.
8.0.0,true,host,host.network.egress.bytes,long,extended,,,The number of bytes sent on all network interfaces.
8.0.0,true,host,host.network.egress.packets,long,extended,,,The number of packets sent on all network interfaces.
8.0.0,true,host,host.network.ingress.bytes,long,extended,,,The number of bytes received on all network interfaces.
8.0.0,true,host,host.network.ingress.packets,long,extended,,,The number of packets received on all network interfaces.
8.0.0,true,host,host.os.family,keyword,extended,,debian,"OS family (such as redhat, debian, freebsd, windows)."
8.0.0,true,host,host.os.full,keyword,extended,,Mac OS Mojave,"Operating system name, including the version or code name."
8.0.0,true,host,host.os.full.text,match_only_text,extended,,Mac OS Mojave,"Operating system name, including the version or code name."
8.0.0,true,host,host.os.kernel,keyword,extended,,4.4.0-112-generic,Operating system kernel version as a raw string.
8.0.0,true,host,host.os.name,keyword,extended,,Mac OS X,"Operating system name, without the version."
8.0.0,true,host,host.os.name.text,match_only_text,extended,,Mac OS X,"Operating system name, without the version."
8.0.0,true,host,host.os.platform,keyword,extended,,darwin,"Operating system platform (such centos, ubuntu, windows)."
8.0.0,true,host,host.os.type,keyword,extended,,macos,"Which commercial OS family (one of: linux, macos, unix or windows)."
8.0.0,true,host,host.os.version,keyword,extended,,10.14.1,Operating system version as a raw string.
8.0.0,true,host,host.type,keyword,core,,,Type of host.
8.0.0,true,host,host.uptime,long,extended,,1325,Seconds the host has been up.
8.0.0,true,http,http.request.body.bytes,long,extended,,887,Size in bytes of the request body.
8.0.0,true,http,http.request.body.content,wildcard,extended,,Hello world,The full HTTP request body.
8.0.0,true,http,http.request.body.content.text,match_only_text,extended,,Hello world,The full HTTP request body.
8.0.0,true,http,http.request.bytes,long,extended,,1437,Total size in bytes of the request (body and headers).
8.0.0,true,http,http.request.id,keyword,extended,,123e4567-e89b-12d3-a456-426614174000,HTTP request ID.
8.0.0,true,http,http.request.method,keyword,extended,,POST,HTTP request method.
8.0.0,true,http,http.request.mime_type,keyword,extended,,image/gif,Mime type of the body of the request.
8.0.0,true,http,http.request.referrer,keyword,extended,,https://blog.example.com/,Referrer for this HTTP request.
8.0.0,true,http,http.response.body.bytes,long,extended,,887,Size in bytes of the response body.
8.0.0,true,http,http.response.body.content,wildcard,extended,,Hello world,The full HTTP response body.
8.0.0,true,http,http.response.body.content.text,match_only_text,extended,,Hello world,The full HTTP response body.
8.0.0,true,http,http.response.bytes,long,extended,,1437,Total size in bytes of the response (body and headers).
8.0.0,true,http,http.response.mime_type,keyword,extended,,image/gif,Mime type of the body of the response.
8.0.0,true,http,http.response.status_code,long,extended,,404,HTTP response status code.
8.0.0,true,http,http.version,keyword,extended,,1.1,HTTP version.
8.0.0,true,log,log.file.path,keyword,extended,,/var/log/fun-times.log,Full path to the log file this event came from.
8.0.0,true,log,log.level,keyword,core,,error,Log level of the log event.
8.0.0,true,log,log.logger,keyword,core,,org.elasticsearch.bootstrap.Bootstrap,Name of the logger.
8.0.0,true,log,log.origin.file.line,long,extended,,42,The line number of the file which originated the log event.
8.0.0,true,log,log.origin.file.name,keyword,extended,,Bootstrap.java,The code file which originated the log event.
8.0.0,true,log,log.origin.function,keyword,extended,,init,The function which originated the log event.
8.0.0,true,log,log.syslog,object,extended,,,Syslog metadata
8.0.0,true,log,log.syslog.facility.code,long,extended,,23,Syslog numeric facility of the event.
8.0.0,true,log,log.syslog.facility.name,keyword,extended,,local7,Syslog text-based facility of the event.
8.0.0,true,log,log.syslog.priority,long,extended,,135,Syslog priority of the event.
8.0.0,true,log,log.syslog.severity.code,long,extended,,3,Syslog numeric severity of the event.
8.0.0,true,log,log.syslog.severity.name,keyword,extended,,Error,Syslog text-based severity of the event.
